Node,Commodity,Season,Consumption Block 1 2020,Consumption Block 1 2025,Consumption Block 1 2030,Consumption Block 1 2035,Consumption Block 1 2040,Consumption Block 1 2045,Consumption Block 1 2050,Consumption Block 1 2055,Consumption Block 1 2060,Consumption Block 1 2065,Consumption Block 1 2070,Consumption Block 1 2075,Reference Price Block 1 2020,Reference Price Block 1 2025,Reference Price Block 1 2030,Reference Price Block 1 2035,Reference Price Block 1 2040,Reference Price Block 1 2045,Reference Price Block 1 2050,Reference Price Block 1 2055,Reference Price Block 1 2060,Reference Price Block 1 2065,Reference Price Block 1 2070,Reference Price Block 1 2075,Price Elasticity Block 1 2020,Price Elasticity Block 1 2025,Price Elasticity Block 1 2030,Price Elasticity Block 1 2035,Price Elasticity Block 1 2040,Price Elasticity Block 1 2045,Price Elasticity Block 1 2050,Price Elasticity Block 1 2055,Price Elasticity Block 1 2060,Price Elasticity Block 1 2065,Price Elasticity Block 1 2070,Price Elasticity Block 1 2075
PAC,GH2,L,0,0.136986301369863,0.273972602739726,0.6164383561643836,0.958904109589041,1.3013698630136985,1.643835616438356,1.643835616438356,1.643835616438356,1.643835616438356,1.643835616438356,1.643835616438356,100,132.2527012877135,164.505402575427,143.44023022347713,122.37505787152725,101.30988551957736,80.2447131676275,80.2447131676275,80.2447131676275,80.2447131676275,80.2447131676275,80.2447131676275,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
SWA,GH2,L,0,0.0684931506849315,0.136986301369863,0.2054794520547945,0.273972602739726,0.3424657534246575,0.410958904109589,0.410958904109589,0.410958904109589,0.410958904109589,0.410958904109589,0.410958904109589,100,96.669620294287,93.339240588574,82.01037937749601,70.681518166418,59.35265695534,48.023795744262,48.023795744262,48.023795744262,48.023795744262,48.023795744262,48.023795744262,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
SEA,GH2,L,0,0.0684931506849315,0.136986301369863,0.3082191780821918,0.4794520547945205,0.6506849315068493,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,100,91.90223211515605,83.8044642303121,74.51502439046621,65.22558455062031,55.93614471077441,46.6467048709285,46.6467048709285,46.6467048709285,46.6467048709285,46.6467048709285,46.6467048709285,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
SEE,GH2,L,0,0.136986301369863,0.273972602739726,0.3424657534246575,0.410958904109589,0.4794520547945205,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452,100,102.401566872288,104.803133744576,91.52738696208192,78.25164017958785,64.97589339709378,51.7001466145997,51.7001466145997,51.7001466145997,51.7001466145997,51.7001466145997,51.7001466145997,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
IND,GH2,L,0,0.136986301369863,0.273972602739726,0.8904109589041095,1.506849315068493,2.1232876712328768,2.73972602739726,2.73972602739726,2.73972602739726,2.73972602739726,2.73972602739726,2.73972602739726,100,119.11165867841,138.22331735682,121.93794829659879,105.65257923637759,89.36721017615639,73.0818411159352,73.0818411159352,73.0818411159352,73.0818411159352,73.0818411159352,73.0818411159352,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
CHN,GH2,L,0,0.3698630136986301,0.7397260273972602,1.4794520547945207,2.2191780821917813,2.9589041095890414,3.698630136986302,3.698630136986302,3.698630136986302,3.698630136986302,3.698630136986302,3.698630136986302,100,94.72375549694834,89.4475109938967,78.98138214949276,68.5152533050888,58.04912446068485,47.5829956162809,47.5829956162809,47.5829956162809,47.5829956162809,47.5829956162809,47.5829956162809,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
LEV,GH2,L,0,0.0684931506849315,0.136986301369863,0.3767123287671233,0.6164383561643836,0.8561643835616438,1.095890410958904,1.095890410958904,1.095890410958904,1.095890410958904,1.095890410958904,1.095890410958904,100,91.4629667797766,82.9259335595532,73.03500161495523,63.144069670357254,53.253137725759274,43.3622057811613,43.3622057811613,43.3622057811613,43.3622057811613,43.3622057811613,43.3622057811613,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
EAF,GH2,L,0,0.0684931506849315,0.136986301369863,0.3082191780821918,0.4794520547945205,0.6506849315068493,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,100,93.0000226410865,86.000045282173,83.10091886018847,80.20179243820395,77.30266601621943,74.4035395942349,74.4035395942349,74.4035395942349,74.4035395942349,74.4035395942349,74.4035395942349,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
IRN,GH2,L,0,0.0684931506849315,0.136986301369863,0.3082191780821918,0.4794520547945205,0.6506849315068493,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,100,95.28636587317095,90.5727317463419,79.05930732899837,67.54588291165484,56.03245849431132,44.5190340769678,44.5190340769678,44.5190340769678,44.5190340769678,44.5190340769678,44.5190340769678,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
SWE,GH2,L,0,0.136986301369863,0.273972602739726,0.410958904109589,0.547945205479452,0.684931506849315,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,100,114.2340359687825,128.468071937565,111.59658525704513,94.72509857652526,77.85361189600538,60.9821252154855,60.9821252154855,60.9821252154855,60.9821252154855,60.9821252154855,60.9821252154855,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
