Node,Output,Origin,Expansion Limit Capacity 2020,Expansion Limit Capacity 2025,Expansion Limit Capacity 2030,Expansion Limit Capacity 2035,Expansion Limit Capacity 2040,Expansion Limit Capacity 2045,Expansion Limit Capacity 2050,Expansion Limit Capacity 2055,Expansion Limit Capacity 2060,Expansion Limit Capacity 2065,Expansion Limit Capacity 2070,Expansion Limit Capacity 2075
PAC,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SWA,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SEA,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SEE,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
IND,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CHN,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
LEV,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
EAF,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
IRN,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SWE,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
JSK,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
NAF,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CEA,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
WAF,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
EAS,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
EAE,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
RUS,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SAF,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
GLF,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CAS,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CEE,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
NOE,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
BRI,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
USA,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CAN,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
ANZ,GH2,Renewable Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
PAC,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SWA,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SEA,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SEE,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
IND,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CHN,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
LEV,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
EAF,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
IRN,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SWE,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
JSK,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
NAF,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CEA,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
WAF,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
EAS,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
EAE,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
RUS,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
SAF,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
GLF,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CAS,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CEE,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
NOE,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
BRI,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
USA,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
CAN,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
ANZ,GH2,Nuclear Electrolysis,100,100,100,100,100,100,100,100,100,100,100,100
