Start,PAC,SWA,SEA,SEE,IND,CHN,LEV,EAF,IRN,SWE,JSK,NAF,CEA,WAF,EAS,EAE,RUS,SAF,GLF,CAS,CEE,NOE,BRI,USA,CAN,ANZ
PAC,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA,,,✓,,,,,,,,,,✓,,,,,,,,,,,,,
SEA,,✓,,,,,,,,,,,,,,,,,,,,,,,,
SEE,,,,,,,✓,,✓,✓,,,,,,✓,✓,,,,✓,,,,,
IND,,,,,,,,,✓,,,,,,✓,,,,,,,,,,,
CHN,,,,,,,,,,,,,,,✓,,✓,,,✓,,,,,,
LEV,,,,✓,,,,✓,✓,,,✓,,,,,,,✓,,,,,,,
EAF,,,,,,,✓,,,,,✓,,✓,,,,✓,✓,,,,,,,
IRN,,,,✓,✓,,✓,,,,,,,,,,✓,,✓,✓,,,,,,
SWE,,,,✓,,,,,,,,✓,,,,,,,,,✓,,✓,,,
JSK,,,,,,,,,,,,,,,,,,,,,,,,,,
NAF,,,,,,,✓,✓,,✓,,,,✓,,,,,,,,,,,,
CEA,,✓,,,,,,,,,,,,,,,,,,,,,,✓,,
WAF,,,,,,,,✓,,,,✓,,,,,,✓,,,,,,,,
EAS,,,,,✓,✓,,,,,,,,,,,,,,,,,,,,
EAE,,,,✓,,,,,,,,,,,,,✓,,,,✓,✓,,,,
RUS,,,,✓,,✓,,,✓,,,,,,,✓,,,,✓,✓,✓,,,,
SAF,,,,,,,,✓,,,,,,✓,,,,,,,,,,,,
GLF,,,,,,,✓,✓,✓,,,,,,,,,,,,,,,,,
CAS,,,,,,✓,,,✓,,,,,,,,✓,,,,,,,,,
CEE,,,,✓,,,,,,✓,,,,,,✓,✓,,,,,✓,✓,,,
NOE,,,,,,,,,,,,,,,,✓,✓,,,,✓,,✓,,,
BRI,,,,,,,,,,✓,,,,,,,,,,,✓,✓,,,,
USA,,,,,,,,,,,,,✓,,,,,,,,,,,,✓,
CAN,,,,,,,,,,,,,,,,,,,,,,,,✓,,
ANZ,,,,,,,,,,,,,,,,,,,,,,,,,,
