Node,Input Commodity,Output Commodity,Capacity 2020,Capacity 2025,Capacity 2030,Capacity 2035,Capacity 2040,Capacity 2045,Capacity 2050,Capacity 2055,Capacity 2060,Capacity 2065,Capacity 2070,Capacity 2075
PAC,GCH4,NH3,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132
SWA,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
SEA,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
SEE,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
IND,GCH4,NH3,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204,0.000204
CHN,GCH4,NH3,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072
LEV,GCH4,NH3,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5
EAF,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
IRN,GCH4,NH3,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132
SWE,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
JSK,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
NAF,GCH4,NH3,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5
CEA,GCH4,NH3,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5
WAF,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
EAS,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
EAE,GCH4,NH3,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5
RUS,GCH4,NH3,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276,0.000276
SAF,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
GLF,GCH4,NH3,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156
CAS,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
CEE,GCH4,NH3,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5,7.2e-5
NOE,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
BRI,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
USA,GCH4,NH3,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228,0.000228
CAN,GCH4,NH3,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5,6.0e-5
ANZ,GCH4,NH3,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5,2.4e-5
