Node,Input,Season,Availability Factor PV Plant A Block 1,Availability Factor PV Plant B Block 1,Availability Factor PV Rooftop Block 1,Availability Factor Wind Onshore A Block 1,Availability Factor Wind Onshore B Block 1,Availability Factor Wind Offshore Block 1,Availability Factor Hydropower Block 1,Availability Factor PV Plant A Block 2,Availability Factor PV Plant B Block 2,Availability Factor PV Rooftop Block 2,Availability Factor Wind Onshore A Block 2,Availability Factor Wind Onshore B Block 2,Availability Factor Wind Offshore Block 2,Availability Factor Hydropower Block 2,Availability Factor PV Plant A Block 3,Availability Factor PV Plant B Block 3,Availability Factor PV Rooftop Block 3,Availability Factor Wind Onshore A Block 3,Availability Factor Wind Onshore B Block 3,Availability Factor Wind Offshore Block 3,Availability Factor Hydropower Block 3,Availability Factor PV Plant A Block 4,Availability Factor PV Plant B Block 4,Availability Factor PV Rooftop Block 4,Availability Factor Wind Onshore A Block 4,Availability Factor Wind Onshore B Block 4,Availability Factor Wind Offshore Block 4,Availability Factor Hydropower Block 4,Availability Factor PV Plant A Block 5,Availability Factor PV Plant B Block 5,Availability Factor PV Rooftop Block 5,Availability Factor Wind Onshore A Block 5,Availability Factor Wind Onshore B Block 5,Availability Factor Wind Offshore Block 5,Availability Factor Hydropower Block 5,Availability Factor Nuclear
PAC,Renewable Hydrogen,L,0,0.074370533804512,0,0.0420141883730635,0.0415955220034807,0.0653149683791936,0.151249830979428,0.102622437751916,0.0945226712023337,0.115831670385891,0.164863749892673,0.196978829370707,0.186050983435773,0,0.140497322272639,0.122838585845373,0.142219695624763,0.216925787272726,0.254128776526328,0.134491475838604,0,0.148513831189451,0.154607283764644,0.154674640825643,0.244282614825527,0.309577556516412,0.39039286308581,0,0,0,0,0.292487712792519,0.358123345091488,0.393793852292002,0,0
SWA,Renewable Hydrogen,L,0.0411855008385769,0.0244664941206223,0.0411485612805738,0.049979099272895,0.0454124590496785,0.0934637025429836,0.395780693665428,0.0748133107173421,0.0970750258470231,0.0801086721882148,0.152375533927434,0.140859331063683,0.0875456669335368,0,0.12159288611235,0.110789155366945,0.132887503311698,0.209516504868885,0.20705989670969,0.190825843174504,0,0.134837174528312,0.117851842729031,0.147975556368052,0.272418324891398,0.255954072766726,0.295652856970082,0,0.185116490472434,0.186454280118158,0,0.381162479264116,0.345189612195326,0.42489184949612,0,0
SEA,Renewable Hydrogen,L,0.0328151170931982,0.026434931999328,0.0455626344302424,0.0662512276281463,0.0581384649790985,0.0734340683639656,0.235119503204597,0.0647025193328964,0.0587046238572542,0.0734824810898513,0.139725089349725,0.154066407448877,0.0740427259444896,0,0.121047416954494,0.119707523362168,0.122189575433537,0.213241307354265,0.211077225527414,0.216642926038635,0,0.148491674249455,0.134668686642026,0.152188196731528,0.267372201532401,0.259810679966924,0.171181103291516,0,0.184390055153584,0,0.182770953110841,0.353956289433384,0.347447739137328,0.281856275868151,0,0
SEE,Renewable Hydrogen,L,0,0,0,0.0629417532787394,0.0519973079978478,0.0903109616948475,0.145528093386467,0.161704110565697,0,0.161788238634446,0.127558744797039,0.138647257032485,0.168209252038962,0,0.17538482919137,0,0.176998706831064,0.177143270213179,0.178553717693079,0.20086475573431,0,0.199321473142244,0.202618155948038,0.197774748781391,0.231071604947059,0.223023456350487,0.278712661012525,0,0,0,0,0.288702769206869,0.291553650838329,0.332914982227054,0,0
IND,Renewable Hydrogen,L,0,0,0,0.0896392548033385,0.0550443985800952,0.124532477343009,0.373373713547749,0.113036783557039,0.108571690867018,0.11049531609317,0.192139873509332,0.178546631212596,0.196727898607559,0,0.134256209760506,0.120970593683203,0.128574205285184,0.266994960824687,0.227121281102822,0.249546451271331,0,0.149621968986773,0.160872677097374,0.146899779688331,0.312657700320788,0.253266360554868,0.394649272561984,0,0.182439530308908,0.203327992623553,0.179581952271234,0.318942507636867,0.321353202774653,0.287755659161714,0,0
CHN,Renewable Hydrogen,L,0.118824149090332,0,0.119637339455682,0.0786369107591981,0.0982197982614204,0.130258252385632,0.46610726317667,0.130212841012502,0.110686477627351,0.130587945136004,0.146938760359207,0.168896935789982,0.195032645337119,0,0.151918222151049,0.162354776488335,0.148316960497542,0.197829655648295,0.209120704451887,0.136101153200842,0,0.175318372452457,0.183468339071955,0.165393393660275,0.253588103570504,0.259356230030528,0.176616441679701,0,0.19530356567205,0.195869772546817,0.197732615821851,0.303430762922697,0.296243693487621,0.127767129974446,0,0
LEV,Renewable Hydrogen,L,0,0,0,0.0933012606150756,0.103807204869612,0.100938218947576,0.445120203995462,0,0,0,0.160318461230988,0.151956260754827,0.149458213212819,0,0,0,0,0.230655773922152,0.211089989910977,0.274780400845908,0,0.207741568751992,0.207400889587501,0.202092773730447,0.299358343162005,0.279288160298563,0.332948377023848,0,0.2095421353111,0.210705491623419,0.20793977321262,0.385851100201237,0.36733970749912,0.473158922316493,0,0
EAF,Renewable Hydrogen,L,0,0,0,0.0679546742944933,0.0777442216047049,0.122478777604601,0.236132370713663,0.0793114142015968,0.0823449613113662,0.0788910339905197,0.152018771648797,0.155182924568495,0.160939992101655,0,0.118947691388145,0.113104940125773,0.131061615519012,0.209029014255475,0.213056023937085,0.293561411603374,0,0.15593584444882,0.154218676785653,0.152947531851972,0.276977659506196,0.275821005977833,0.310395222279966,0,0.178720117833847,0.181317818031155,0.180292787637344,0.352044763079604,0.339114397048245,0.269990462229439,0,0
IRN,Renewable Hydrogen,L,0,0,0,0.0940638238718634,0.118990449978917,0.150787628633259,0.200755058510007,0,0,0,0.176589417910775,0.192347050748922,0.145842304814891,0,0.172167476905419,0,0.165027101398241,0.240840722670806,0.253893988425505,0.184980040902727,0,0.200694431387194,0.204684517660985,0.185332223994843,0.300864046497428,0.313929897048747,0,0,0.205086420045439,0.206708833831644,0.189295979686306,0.375805130697198,0.410933025055143,0,0,0
SWE,Renewable Hydrogen,L,0,0,0,0.0572968921412115,0.0706277262538985,0.0965654625964933,0.124578484251832,0.163336076660189,0,0.161935453753077,0.10602718925518,0.0870034456470463,0.153736766310504,0,0.175226366666891,0.182135923850564,0.174986934987115,0.142236481585054,0.149698700069165,0.220036750527051,0,0.19191502452229,0.181178820651586,0.191917938291986,0.177683511370712,0.231448574106906,0.188988921650146,0,0.199288994609508,0,0.198389957743524,0.241635797501085,0.300321478592293,0.165966095636098,0,0
