Start,PAC,SWA,SEA,SEE,IND,CHN,LEV,EAF,IRN,SWE,JSK,NAF,CEA,WAF,EAS,EAE,RUS,SAF,GLF,CAS,CEE,NOE,BRI,USA,CAN,ANZ
PAC,40.0,21.9190956,18.3197727,12.7122174,6.15568189999999,5.209792,12.0683056,10.4901865,8.8531312,17.5660657,6.61297459999999,14.8749497,15.651428,17.2589376,3.804283,17.7368353,22.6016368,11.1864205,9.46285659999999,15.9599627,17.7124122,20.0610286,17.6511666,23.2972861,20.7547665,8.8347629
SWA,21.9190956,40.0,9.6577903,14.286289,21.1515555,18.0187756,15.1830521,17.2155481,20.4127378,11.9851063,16.3147682,11.8431093,7.5614636,14.1158071999999,22.0532526,13.1497364,15.7992564,14.4371871,21.0224631999999,17.4874823,12.1314528,13.2586482,12.0701932,5.9734247,7.6372771,16.037766
SEA,18.3197727,9.6577903,40.0,11.1402121,14.9466336,20.6689917,12.0369752,10.9347631999999,15.3548369,9.8520534,22.0721743,8.6970324,14.0909336999999,7.6459083,18.4817607,11.2716425,14.8533905,8.1564022,15.9645623,14.3414054,9.9983999,12.3127823,9.9371543,10.2714198,9.5555202,18.5521821
SEE,12.7122174,14.286289,11.1402121,40.0,7.5036763,14.8336724,1.4564029,8.0460329,6.76485859999999,5.4922581,16.30745,2.8011421,16.8644804,10.1386039999999,12.3633334,5.4573707,10.5278292,10.1218169,7.374584,3.3977591,5.6386046,7.987221,5.577359,11.8774545,8.6809589,17.7448833
IND,6.15568189999999,21.1515555,14.9466336,7.5036763,40.0,8.2771369,6.8597645,5.8043954,3.5546061,12.3575246,9.7509145,9.6664086,18.9465368999999,13.8857985,5.80679789999999,12.5282942,17.3930957,7.5826894,4.1643315,10.7514216,12.5038711,14.8524874999999,12.4426255,18.742721,15.5462253999999,11.2558668
CHN,5.209792,18.0187756,20.6689917,14.8336724,8.2771369,40.0,14.1897606,12.8394055,10.9745862,19.6875207,2.4116696,16.9964047,11.324148,19.6081565999999,4.609234,19.8582903,22.0058928,13.5356395,11.5843116,18.0814177,19.8338672,22.1824836,19.7726215999999,19.0554581,20.7193105,8.6376774
LEV,12.0683056,15.1830521,12.0369752,1.4564029,6.8597645,14.1897606,40.0,7.4021211,6.1209468,6.3890212,15.6635382,3.6979052,17.7612435,11.0353671,11.7194216,6.4810208,11.4245923,9.4779051,6.7306722,4.7041482,6.5353677,8.8839841,6.4741221,12.7742176,9.577722,17.1009715
EAF,10.4901865,17.2155481,10.9347631999999,8.0460329,5.8043954,12.8394055,7.4021211,40.0,5.9151087,12.8998812,14.2425881,10.2087652,22.4396955,9.87392809999999,10.3798105,13.0706508,17.9354523,3.570819,6.5248341,11.2937782,13.0462277,15.3948441,12.9849821,18.6201816,16.088582,14.6168564
IRN,8.8531312,20.4127378,15.3548369,6.76485859999999,3.5546061,10.9745862,6.1209468,5.9151087,40.0,11.6187069,12.4483638,8.9275909,21.6439862,14.2940018,8.5042472,11.7894765,16.6542779999999,7.9908927,1.3111368,10.0126039,11.7650534,14.1136698,11.7038078,18.0039033,14.8074077,13.9533161
SWE,17.5660657,11.9851063,9.8520534,5.4922581,12.3575246,19.6875207,6.3890212,12.8998812,11.6187069,40.0,21.1612983,3.0490784,14.5632977,8.9599613,17.2171817,1.5692415,5.2892965,13.3053081999999,12.2284323,8.6934514,0.2916469,2.7486883,0.2799963,9.1848488,5.6147922,22.5987316
